City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,dunda,-8.1167,34.25,67.01,70,0,1.97,TZ,1731377294
123,barcelos,41.5388,-8.6151,54.41,80,49,5.41,PT,1731377296
124,la palma,33.8464,-118.0467,62.83,79,40,6.91,US,1731377297
125,conceicao da barra,-18.5933,-39.7322,70.84,84,0,1.19,BR,1731377299
126,tazovsky,67.4667,78.7,-11.74,96,85,12.08,RU,1731377301
127,margate,51.3813,1.3862,50.7,82,100,3.0,GB,1731377089
128,thompson,55.7435,-97.8558,25.11,76,100,8.19,CA,1731377303
129,sisimiut,66.9395,-53.6735,27.23,73,100,13.71,GL,1731377304
130,longyearbyen,78.2186,15.6401,35.44,93,75,3.44,SJ,1731377305
131,minas de marcona,-15.2119,-75.1103,57.7,81,16,9.04,PE,1731377306
132,puerto ayora,-0.7393,-90.3518,71.55,87,30,5.01,EC,1731377308
133,novodvinsk,64.4165,40.8122,31.75,89,100,7.63,RU,1731377309
134,lebu,-37.6167,-73.65,52.65,75,87,16.44,CL,1731377069
135,fort bragg,35.139,-79.006,63.95,94,0,3.44,US,1731377303
136,enewetak,11.3474,162.3373,83.55,78,1,14.14,MH,1731377315
137,changling,44.2653,124.0005,40.44,34,0,6.82,CN,1731377316
138,port alfred,-33.5906,26.891,63.18,95,2,3.0,ZA,1731377027
139,westport,41.1415,-73.3579,58.91,64,40,8.05,US,1731377181
140,kingscliff,-28.2667,153.5667,79.95,82,95,5.75,AU,1731377320
141,cabedelo,-6.9811,-34.8339,77.67,74,87,11.34,BR,1731377321
142,munduk,-8.2687,115.0795,76.08,78,67,1.88,ID,1731377322
143,badger,64.8,-147.5333,3.81,82,0,0.0,US,1731377324
144,san patricio,28.017,-97.5169,75.15,69,52,9.08,US,1731377325
145,yeghegnadzor,39.7639,45.3324,41.54,76,58,1.34,AM,1731377326
146,hotan,37.0997,79.9269,46.24,53,38,6.6,CN,1731377327
147,toliara,-23.35,43.6667,72.73,84,70,8.59,MG,1731377328
148,kibakwe,-6.7167,36.3667,63.68,88,0,3.65,TZ,1731377330
149,kattivakkam,13.2167,80.3167,78.89,99,100,11.72,IN,1731377331
